PSize;FlangeType;D;t;f;n;df;drf;trf;FClass
DN15;BL;133.35;30.23;22.35;4;88.9;35.05;6.4;2500lb
DN20;BL;139.7;31.75;22.35;4;95.25;42.93;6.4;2500lb
DN25;BL;158.75;35.05;25.4;4;107.95;50.8;6.4;2500lb
DN32;BL;184.15;38.1;28.45;4;130.05;63.5;6.4;2500lb
DN40;BL;203.2;44.45;31.75;4;146.05;73.15;6.4;2500lb
DN50;BL;234.95;50.8;28.45;8;171.45;91.95;6.4;2500lb
DN65;BL;266.7;57.15;31.75;8;196.85;104.65;6.4;2500lb
DN80;BL;304.8;66.55;35.05;8;228.6;127;6.4;2500lb
DN100;BL;355.6;76.2;41.15;8;273.05;157.23;6.4;2500lb
DN125;BL;419.1;91.95;47.75;8;323.85;185.67;6.4;2500lb
DN150;BL;482.6;107.95;53.85;8;368.3;215.9;6.4;2500lb
DN200;BL;552.45;127;53.85;12;438.15;269.75;6.4;2500lb
DN250;BL;673.1;165.1;66.55;12;539.75;323.85;6.4;2500lb
DN300;BL;762;184.15;73.15;12;619.25;381;6.4;2500lb
