PSize;FlangeType;D;d;t;T1;ODp;f;n;df;drf;trf;kg
DN15;SO;95.25;22.35;14.22;22.35;38.10;15.75;4;66.55;35.05;1.60;0.65
DN20;SO;117.35;27.69;15.75;25.40;47.75;19.05;4;82.55;42.93;1.60;1.11
DN25;SO;123.95;34.54;17.53;26.92;53.85;19.05;4;88.90;50.80;1.60;1.37
DN32;SO;133.35;43.18;19.05;26.92;63.50;19.05;4;98.55;63.50;1.60;1.69
DN40;SO;165.45;49.53;20.57;30.23;69.85;22.35;4;114.30;73.15;1.60;2.49
DN50;SO;165.10;61.98;22.35;33.27;84.07;19.05;8;127.00;91.95;1.60;2.89
DN65;SO;190.50;74.68;25.40;38.10;100.08;22.35;8;149.35;104.65;1.60;4.33
DN80;SO;209.55;90.68;28.45;42.93;117.35;22.35;8;168.15;127.00;1.60;5..83
DN90;SO;228.60;103.38;30.23;44.45;133.35;22.35;8;184.15;139.70;1.60;7.36
DN100;SO;254.00;116.08;31.75;47.75;146.05;22.35;8;200.15;157.23;1.60;9.65
DN125;SO;279.40;143.76;35.05;50.80;177.80;22.35;8;234.95;185.67;1.60;12.23
DN150;SO;317.50;170.69;38.58;52.32;206.25;22.35;12;269.75;215.90;1.60;15.66
DN200;SO;381.00;221.49;41.15;61.98;260.35;25.40;12;330.20;269.75;1.60;24.22
DN250;SO;444.50;276.35;47.75;66.55;320.55;28.45;16;387.35;323.85;1.60;34.18
DN300;SO;520.70;327.15;50.80;73.15;374.65;31.75;16;450.85;381.00;1.60;49.91
DN350;SO;584.20;359.16;53.85;76.20;425.45;31.75;20;514.35;412.75;1.60;69.54
DN400;SO;647.70;410.46;57.15;82.55;482.60;35.05;20;571.50;469.90;1.60;88.25
DN450;SO;711.20;461.77;60.45;88.90;533.40;35.05;24;628.65;533.40;1.60;108.76
DN500;SO;774.70;513.08;63.50;95.25;587.25;35.05;24;685.80;584.20;1.60;134.18
